blanks,strategy,singles_progress,dead_end_rate,search_nodes
10,Random,0.7700,0.3146,10.0
10,CenterFocused,0.7725,0.5417,10.0
10,BlockEven,0.7950,0.2021,10.0
13,Random,0.7173,0.4896,13.0
13,CenterFocused,0.6404,0.6958,13.2
13,BlockEven,0.7865,0.5271,13.0
16,Random,0.6734,0.7396,16.0
16,CenterFocused,0.5609,0.7583,16.0
16,BlockEven,0.7203,0.5708,16.1
19,Random,0.6118,0.8188,19.1
19,CenterFocused,0.4342,0.8708,19.0
19,BlockEven,0.6803,0.7688,19.0
22,Random,0.5068,0.9146,22.3
22,CenterFocused,0.2784,0.9583,23.1
22,BlockEven,0.5943,0.8708,22.0
25,Random,0.3580,0.9458,26.2
25,CenterFocused,0.2050,0.9604,28.4
25,BlockEven,0.4730,0.9604,25.8
28,Random,0.2857,0.9667,28.3
28,CenterFocused,0.1777,0.9688,29.3
28,BlockEven,0.3268,0.9771,29.2
31,Random,0.2032,0.9875,32.4
31,CenterFocused,0.1137,0.9792,34.4
31,BlockEven,0.2048,0.9938,33.9
34,Random,0.1235,0.9938,35.9
34,CenterFocused,0.0868,0.9875,35.5
34,BlockEven,0.1662,0.9958,65.0
37,Random,0.0824,0.9958,39.0
37,CenterFocused,0.0324,0.9896,37.6
37,BlockEven,0.0527,0.9979,38.0
40,Random,0.0438,1.0000,41.3
40,CenterFocused,0.0225,1.0000,40.8
40,BlockEven,0.0219,0.9979,44.4
43,Random,0.0110,1.0000,45.9
43,CenterFocused,0.0076,1.0000,44.0
43,BlockEven,0.0140,1.0000,229.2
46,Random,0.0098,1.0000,49.3
46,CenterFocused,0.0011,0.9979,50.0
46,BlockEven,0.0082,0.9979,49.5
49,Random,0.0056,0.9979,49.6
49,CenterFocused,0.0031,0.9979,50.4
49,BlockEven,0.0010,1.0000,7550.0
52,Random,0.0010,1.0000,427.9
52,CenterFocused,0.0010,0.9979,52.6
52,BlockEven,0.0000,1.0000,52.9
55,Random,0.0027,1.0000,64.4
55,CenterFocused,0.0000,0.9979,55.4
55,BlockEven,0.0000,1.0000,1341.3
58,Random,0.0000,0.9979,59.0
58,CenterFocused,0.0000,0.9979,58.7
58,BlockEven,0.0000,1.0000,59.6
61,Random,0.0000,0.9979,64.5
61,CenterFocused,0.0000,1.0000,61.9
61,BlockEven,0.0000,0.9979,62.0
64,Random,0.0000,0.9979,119.8
64,CenterFocused,0.0000,1.0000,65.1
64,BlockEven,0.0000,1.0000,66.0
67,Random,0.0000,1.0000,69.3
67,CenterFocused,0.0000,1.0000,67.5
67,BlockEven,0.0000,1.0000,68.1
70,Random,0.0000,1.0000,71.2
70,CenterFocused,0.0000,1.0000,71.4
70,BlockEven,0.0000,1.0000,71.0
73,Random,0.0000,1.0000,91.6
73,CenterFocused,0.0000,1.0000,73.9
73,BlockEven,0.0000,0.9979,74.4
76,Random,0.0000,0.9979,78.0
76,CenterFocused,0.0000,1.0000,78.2
76,BlockEven,0.0000,1.0000,78.7
79,Random,0.0000,1.0000,80.9
79,CenterFocused,0.0000,1.0000,80.8
79,BlockEven,0.0000,1.0000,82.2
