stage,chapter,blanks,strategy,singles_progress,dead_end_rate,search_nodes
1,1,12,Random,0.7146,0.4854,12.0
5,1,14,Random,0.7071,0.6250,14.0
9,1,17,Random,0.6515,0.7313,17.1
13,1,19,Random,0.5671,0.8375,19.2
17,1,22,Random,0.4523,0.9083,22.5
21,2,24,CenterFocused,0.2542,0.9375,24.4
25,2,26,CenterFocused,0.1942,0.9729,28.3
29,2,29,CenterFocused,0.1466,0.9729,30.9
33,2,31,CenterFocused,0.1274,0.9833,32.9
37,2,34,CenterFocused,0.0676,0.9875,42.7
41,3,36,BlockEven,0.0715,0.9958,39.3
45,3,38,BlockEven,0.0493,1.0000,42.7
49,3,41,BlockEven,0.0311,0.9958,43.3
53,3,43,BlockEven,0.0128,0.9958,51.4
57,3,46,BlockEven,0.0092,1.0000,49.6
61,4,48,Mixed,0.0031,0.9958,49.3
65,4,50,Mixed,0.0015,1.0000,50.5
69,4,53,Mixed,0.0014,0.9979,54.2
73,4,55,Mixed,0.0014,1.0000,56.0
77,4,58,Mixed,0.0000,1.0000,59.5
81,4,60,Mixed,0.0000,1.0000,64.7
